DriveID,Driver,Vehicle,GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),Mass Air Flow Rate(cfm),Accel Pedal Pos #1(%)
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:56 CST 2013,30:56.2,-86.67095788,34.64735322,4.25,3,145.5,269.1,-0.44547364,8.51070213,5.76361465,0.06775945,255,1.44385028,25.49019623
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:57 CST 2013,30:57.2,-86.67100674,34.64735178,4.5,3,145.8999939,268.9,0.2586621,8.74062347,5.87618065,0.09294611,255,1.44385028,27.84313774
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:58 CST 2013,30:58.2,-86.67105747,34.64735041,4.5,3,146.1000061,268.7,-0.45505372,7.92751455,5.8462429,0.02415627,255,1.44385028,28.23529434
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:59 CST 2013,30:59.2,-86.67111489,34.6473499,5,3,145.8999939,268.9,0.1233435,8.34544563,5.94084597,0.06331903,255,1.44385028,27.05882263
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:00 CST 2013,31:00.2,-86.67118537,34.64734812,5.5,3,145.8999939,269,-0.04790039,8.09636307,5.68577623,0.04608053,255,1.36363637,21.96078491
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:01 CST 2013,31:01.2,-86.67124694,34.64734942,5.5,3,146.1000061,269,-0.38799316,7.82812119,6.6701293,0.06811064,255,1.44385028,20
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:02 CST 2013,31:02.2,-86.67130741,34.64735067,5.5,3,146.3000031,269,-0.22513184,7.31319237,6.86173105,0.04150695,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:03 CST 2013,31:03.2,-86.67135801,34.64735051,5.25,3,145.8999939,269.1,0.55205202,8.44603634,7.0245924,0.14023608,255,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:04 CST 2013,31:04.2,-86.6714131,34.64735111,4.75,3,146.1999969,269.1,0.39517823,7.55389166,7.23535395,0.08601969,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:05 CST 2013,31:05.2,-86.67145584,34.64735462,3.75,3,146.3000031,269.5,0.05029541,8.23886681,6.61863661,0.09629303,255,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:06 CST 2013,31:06.2,-86.67148712,34.64735551,3,3,146.3999939,269.3,0.00479004,8.11193085,6.75156021,0.09484142,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:07 CST 2013,31:07.2,-86.67151186,34.6473556,2.5,3,146,269.4,0.07783814,7.95984745,6.74916506,0.08284348,255,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:08 CST 2013,31:08.2,-86.67153669,34.6473551,2,3,145.6999969,269,0.1592688,8.27239704,7.04973984,0.12705225,255,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:09 CST 2013,31:09.2,-86.67154936,34.64735504,1.25,3,145.5,270.5,0.05508545,7.94188499,6.44859028,0.06185323,143.023056,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:10 CST 2013,31:10.2,-86.67155206,34.6473587,0.5,3,145,270.5,-0.01916016,8.12151146,6.37793684,0.07165426,113.5771332,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:11 CST 2013,31:11.2,-86.67155086,34.64735811,0,3,144.6999969,0,0.07544312,8.29275513,6.13723755,0.07068521,113.5771332,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:12 CST 2013,31:12.2,-86.67154415,34.64735913,0,3,144.3000031,0,0.06346802,8.45441914,6.14562035,0.08447057,113.5771332,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:13 CST 2013,31:13.2,-86.67154465,34.64735867,0,3,144.1999969,0,0.06825805,8.38256836,6.09652233,0.06728794,0,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:14 CST 2013,31:14.2,-86.67154548,34.64735853,0,3,144.1999969,0,0.02035767,8.40532112,6.1875329,0.08293599,0,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:15 CST 2013,31:15.2,-86.67154504,34.6473586,0,3,144.1000061,0,0.04311035,8.34185314,6.10490465,0.07274359,0,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:16 CST 2013,31:16.2,-86.67154587,34.64735975,0,3,144,0,0.09460327,8.23527431,5.98994398,0.05709559,0,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:17 CST 2013,31:17.2,-86.67154605,34.64736123,0,3,143.8999939,0,0.04790039,8.47118378,6.28213644,0.0940755,0,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:18 CST 2013,31:18.2,-86.67154476,34.64736358,0,3,143.8999939,0,-0.05508545,8.18737411,5.95401859,0.05096322,0,1.44385028,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:19 CST 2013,31:19.2,-86.67154384,34.64736447,0,3,143.8000031,0,0.13412109,8.66398335,6.18154526,0.10401219,0,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:20 CST 2013,31:20.2,-86.67154221,34.64736638,0,3,143.6000061,0,0.03472778,8.47836876,6.11807728,0.08478719,0,1.36363637,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:31:21 CST 2013,31:21.2,-86.67154257,34.64736568,0,3,143.6000061,0,0.06466553,8.25084209,6.12406492,0.06644577,0,1.36363637,15.68627453
